"factor_list","code"
"NONE",0
"12안",1000
"1안",1001
"1우안",1002
"2안",1003
"2우안",1004
"2유안",1005
"2좌안",1006
"2중안",1007
"3안",1008
"3유안",1009
"3좌안",1010
"우안",1011
"우중안",1012
"유안",1013
"유우안",1014
"유좌안",1015
"유중안",1016
"좌안",1017
"좌중안",1018
"중안",1019
"투1안",1020
"투2안",1021
"투3안",1022
"투안",1023
"투우안",1024
"투유안",1025
"투좌안",1026
"투중안",1027
"포안",1028
"122",1100
"1우2",1101
"1중2",1102
"22",1103
"2우2",1104
"2좌2",1105
"2중2",1106
"32",1107
"3유2",1108
"3좌2",1109
"우2",1110
"우중2",1111
"유2",1112
"유우2",1113
"유좌2",1114
"유중2",1115
"좌2",1116
"좌중2",1117
"중2",1118
"투우2",1119
"투좌2",1120
"투중2",1121
"1우3",1200
"우3",1201
"우중3",1202
"좌3",1203
"좌중3",1204
"중3",1205
"우중홈",1300
"우홈",1301
"좌중홈",1302
"좌홈",1303
"중홈",1304
"삼진",2000
"스낫",2100
"1번",4000
"1희번",4100
"2번",4001
"2희번",4101
"3번",4002
"3희번",4102
"유번",4003
"유희번",4103
"투번",4004
"투희번",4104
"포번",4005
"포희번",4105
"4구",3000
"사구",3100
"고4",3200
"야선",6300
"1실",6000
"1희실",6100
"2실",6001
"2희실",6101
"3실",6002
"3희실",6102
"우실",6003
"우희실",6103
"유실",6004
"좌실",6005
"좌희실",6104
"중실",6006
"중희실",6105
"투실",6007
"투희실",6106
"포실",6008
"포희실",6107
"1희선",6200
"3희선",6201
"투희선",6202
"포희선",6203
"타방",6400
"1비",7000
"2비",7001
"3비",7002
"우비",7003
"유비",7004
"좌비",7005
"중비",7006
"투비",7007
"포비",7008
"1땅",7100
"2땅",7101
"3땅",7102
"우땅",7103
"유땅",7104
"좌땅",7105
"중땅",7106
"투땅",7107
"포땅",7108
"13병",7200
"1병",7201
"1유병",7202
"1포병",7203
"23병",7204
"2병",7205
"2유병",7206
"2포병",7207
"32병",7208
"3병",7209
"3유병",7210
"3포병",7211
"유2병",7212
"유3병",7213
"유병",7214
"유포병",7215
"투1병",7216
"투2병",7217
"투3병",7218
"투병",7219
"투유병",7220
"투포병",7221
"포2병",7222
"포3병",7223
"포병",7224
"포유병",7225
"1직",7300
"2직",7301
"3직",7302
"우직",7303
"유직",7304
"좌직",7305
"중직",7306
"투직",7307
"1파",7400
"2파",7401
"3파",7402
"우파",7403
"유파",7404
"좌파",7405
"투파",7406
"포파",7407
"3삼중",7226
"1희비",5000
"2희비",5001
"우희비",5002
"유희비",5003
"좌희비",5004
"중희비",5005
